Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/24/2019,12/26/2019,SEAMLSS,Food & Drink,Sale,-43.61,
12/24/2019,12/25/2019,WHOLEFDS,Groceries,Sale,-30.73,
12/23/2019,12/24/2019,SEAMLSS,Food & Drink,Sale,-54.74,
12/20/2019,12/23/2019,LYFT,Travel,Sale,-18.18,
12/21/2019,12/22/2019,SEAMLSS,Food & Drink,Sale,-5.99,
12/20/2019,12/22/2019,COSTCO WHSE,Shopping,Sale,-3.26,
12/20/2019,12/22/2019,SEAMLSS,Food & Drink,Sale,-27.2,
12/16/2019,12/20/2019,SEAMLSS,Food & Drink,Sale,-5.72,
12/17/2019,12/19/2019,SEAMLSS,Food & Drink,Sale,-12.65,
12/16/2019,12/18/2019,SEAMLSS,Food & Drink,Sale,-63.42,
12/16/2019,12/18/2019,LYFT,Travel,Sale,-33,
12/15/2019,12/17/2019,LYFT,Travel,Sale,-20.58,
12/15/2019,12/17/2019,SEAMLSS,Food & Drink,Sale,-37,
12/14/2019,12/16/2019,SEAMLSS,Food & Drink,Sale,-37.16,
12/14/2019,12/16/2019,LYFT,Travel,Sale,-33,
12/15/2019,12/15/2019,AUTOMATIC PAYMENT - THANK,,Payment,387.95,
12/12/2019,12/15/2019,SEAMLSS,Food & Drink,Sale,-47.63,
12/12/2019,12/15/2019,SEAMLSS,Food & Drink,Sale,-8.82,
12/12/2019,12/13/2019,LYFT,Travel,Sale,-49,
12/12/2019,12/13/2019,SEAMLSS,Food & Drink,Sale,-8.9,
12/11/2019,12/12/2019,UBER TECHNOLOGIES INC,Travel,Sale,-3.61,
12/11/2019,12/12/2019,UBER TECHNOLOGIES INC,Travel,Sale,-23.52,
12/10/2019,12/11/2019,SEAMLSS,Food & Drink,Sale,-44.5,
12/08/2019,12/10/2019,SEAMLSS,Food & Drink,Sale,-63.44,
12/07/2019,12/09/2019,SEAMLSS,Food & Drink,Sale,-20.45,
12/08/2019,12/09/2019,AIRBNB,Travel,Sale,-188.15,
12/09/2019,12/09/2019,UBER TECHNOLOGIES INC,Travel,Sale,-25.85,
12/09/2019,12/09/2019,UBER TECHNOLOGIES INC,Travel,Sale,-3.97,
12/06/2019,12/08/2019,SEAMLSS,Food & Drink,Sale,-56.29,
12/03/2019,12/03/2019,AIRBNB,Travel,Sale,-287.9,
12/01/2019,12/03/2019,SEAMLSS,Food & Drink,Sale,-6.38,
12/01/2019,12/03/2019,SEAMLSS,Food & Drink,Sale,-11.78,
12/01/2019,12/01/2019,FEE,Fees & Adjustments,Fee,-450,
11/30/2019,12/01/2019,SEAMLSS,Food & Drink,Sale,-11.2,
11/23/2019,11/25/2019,SEAMLSS,Food & Drink,Sale,-37,
11/23/2019,11/25/2019,SEAMLSS,Food & Drink,Sale,-54.13,
11/22/2019,11/24/2019,SEAMLSS,Food & Drink,Sale,-6.28,
11/22/2019,11/24/2019,SEAMLSS,Food & Drink,Sale,-6.71,
11/21/2019,11/22/2019,SEAMLSS,Food & Drink,Sale,-8.9,
11/20/2019,11/21/2019,SEAMLSS,Food & Drink,Sale,-8.9,
11/15/2019,11/18/2019,SEAMLSS,Food & Drink,Sale,-42.76,
11/15/2019,11/15/2019,AUTOMATIC PAYMENT - THANK,,Payment,243.76,
11/10/2019,11/12/2019,SEAMLSS,Food & Drink,Sale,-8.9,
11/09/2019,11/11/2019,SEAMLSS,Food & Drink,Sale,-9.95,
11/03/2019,11/05/2019,SEAMLSS,Food & Drink,Sale,-11.4,
11/02/2019,11/04/2019,SEAMLSS,Food & Drink,Sale,-26.13,
10/22/2019,10/24/2019,SEAMLSS,Food & Drink,Sale,-16.24,
10/23/2019,10/23/2019,UBER   *TRIP,Travel,Sale,-17.85,
10/20/2019,10/22/2019,SEAMLSS,Food & Drink,Sale,-8.88,
10/21/2019,10/22/2019,SEAMLSS,Food & Drink,Sale,-5.59,
10/18/2019,10/21/2019,SEAMLSS,Food & Drink,Sale,-76.87,
10/19/2019,10/21/2019,SEAMLSS,Food & Drink,Sale,-56,
10/17/2019,10/20/2019,SEAMLSS,Food & Drink,Sale,-42.22,
10/15/2019,10/15/2019,AUTOMATIC PAYMENT - THANK,,Payment,147.89,
10/13/2019,10/15/2019,SEAMLSS,Food & Drink,Sale,-21.51,
10/08/2019,10/10/2019,SEAMLSS,Food & Drink,Sale,-10.81,
