Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/28/2021,04/29/2021,SEAMLSS,Food & Drink,Sale,-9.02,
04/27/2021,04/28/2021,SEAMLSS,Food & Drink,Sale,-5.44,
04/23/2021,04/25/2021,SEAMLSS,Food & Drink,Sale,-4.99,
04/21/2021,04/22/2021,SEAMLSS,Food & Drink,Sale,-7.85,
04/20/2021,04/21/2021,SEAMLSS,Food & Drink,Sale,-9.44,
04/19/2021,04/20/2021,WHOLEFDS,Groceries,Sale,-35.61,
04/17/2021,04/18/2021,SEAMLSS,Food & Drink,Sale,-93.05,
04/17/2021,04/18/2021,SEAMLSS,Food & Drink,Sale,-12.34,
04/16/2021,04/18/2021,SEAMLSS,Food & Drink,Sale,-25.8,
04/16/2021,04/18/2021,SEAMLSS,Food & Drink,Sale,-7.65,
04/15/2021,04/17/2020,WHOLEFDS,Groceries,Sale,-161.39,
04/15/2021,04/16/2021,SEAMLSS,Food & Drink,Sale,-2.24,
04/15/2021,04/15/2021,AUTOMATIC PAYMENT - THANK,,Payment,545.23,
04/14/2021,04/15/2021,SEAMLSS,Food & Drink,Sale,-8.8,
04/13/2021,04/14/2021,SEAMLSS,Food & Drink,Sale,-11.24,
04/12/2021,04/12/2021,SEAMLSS,Food & Drink,Sale,-64.18,
04/09/2021,04/11/2021,SEAMLSS,Food & Drink,Sale,-4.99,
04/10/2021,04/11/2021,SEAMLSS,Food & Drink,Sale,-12.34,
04/08/2021,04/09/2021,SEAMLSS,Food & Drink,Sale,-27.17,
04/06/2021,04/09/2021,SEAMLSS,Food & Drink,Sale,-11.72,
04/03/2021,04/05/2021,SEAMLSS,Food & Drink,Sale,-27.16,
04/05/2021,04/05/2021,SEAMLSS,Food & Drink,Sale,-15,
04/04/2021,04/05/2021,SEAMLSS,Food & Drink,Sale,-65.04,
04/02/2021,04/04/2021,SEAMLSS,Food & Drink,Sale,-9.47,
04/01/2021,04/02/2021,GOOGLE,Professional Services,Sale,-0.8,
03/31/2021,04/01/2021,SEAMLSS,Food & Drink,Sale,-8.8,
03/27/2021,03/29/2021,SEAMLSS,Food & Drink,Sale,-22.37,
03/27/2021,03/28/2021,SEAMLSS,Food & Drink,Sale,-9.89,
03/26/2021,03/28/2021,SEAMLSS,Food & Drink,Sale,-9.13,
03/26/2021,03/26/2021,SEAMLSS,Food & Drink,Sale,-53.76,
03/24/2021,03/25/2021,SEAMLSS,Food & Drink,Sale,-60.78,
03/23/2021,03/24/2021,SEAMLSS,Food & Drink,Sale,-51.47,
03/21/2021,03/22/2021,SEAMLSS,Food & Drink,Sale,-40.92,
03/21/2021,03/22/2021,SEAMLSS,Food & Drink,Sale,-84.93,
03/18/2021,03/19/2021,SEAMLSS,Food & Drink,Sale,-9.99,
03/19/2021,03/19/2021,SEAMLSS,Food & Drink,Sale,-3.55,
03/18/2021,03/19/2021,SEAMLSS,Food & Drink,Sale,-0.8,
03/17/2021,03/18/2021,SEAMLSS,Food & Drink,Sale,-1.85,
03/16/2021,03/17/2021,SEAMLSS,Food & Drink,Sale,-5.32,
03/14/2021,03/16/2021,SEAMLSS,Food & Drink,Sale,-37.56,
03/15/2021,03/15/2021,AUTOMATIC PAYMENT - THANK,,Payment,828.84,
03/15/2021,03/17/2021,WHOLEFDS,Groceries,Sale,-161.39,
03/13/2021,03/15/2021,SEAMLSS,Food & Drink,Sale,-5.44,
03/12/2021,03/14/2021,SEAMLSS,Food & Drink,Sale,-11.67,
03/13/2021,03/14/2021,SEAMLSS,Food & Drink,Sale,-9.35,
03/13/2021,03/14/2021,SEAMLSS,Food & Drink,Sale,-58.56,
03/11/2021,03/12/2021,SEAMLSS,Food & Drink,Sale,-2.6,
03/10/2021,03/11/2021,SEAMLSS,Food & Drink,Sale,-4.99,
03/07/2021,03/08/2021,SEAMLSS,Food & Drink,Sale,-69.86,
03/06/2021,03/07/2021,SEAMLSS,Food & Drink,Sale,-0.8,
03/05/2021,03/07/2021,SEAMLSS,Food & Drink,Sale,-8.25,
03/04/2021,03/05/2021,SEAMLSS,Food & Drink,Sale,-8.8,
03/03/2021,03/04/2021,SEAMLSS,Food & Drink,Sale,-4.99,
03/02/2021,03/03/2021,SEAMLSS,Food & Drink,Sale,-3.96,
03/02/2021,03/03/2021,GOOGLE,Professional Services,Sale,-0.88,
03/01/2021,03/02/2021,SEAMLSS,Food & Drink,Sale,-34.86,
02/28/2021,03/01/2021,SEAMLSS,Food & Drink,Sale,-81.18,
02/26/2021,02/28/2021,SEAMLSS,Food & Drink,Sale,-9.89,
02/27/2021,02/28/2021,SEAMLSS,Food & Drink,Sale,-1.89,
02/25/2021,02/26/2021,SEAMLSS,Food & Drink,Sale,-6.59,
02/24/2021,02/25/2021,SEAMLSS,Food & Drink,Sale,-3.99,
02/23/2021,02/24/2021,SEAMLSS,Food & Drink,Sale,-4.23,
02/22/2021,02/23/2021,SEAMLSS,Food & Drink,Sale,-85,
02/20/2021,02/22/2021,SEAMLSS,Food & Drink,Sale,-5.72,
02/21/2021,02/22/2021,SEAMLSS,Food & Drink,Sale,-44.64,
02/20/2021,02/21/2021,SEAMLSS,Food & Drink,Sale,-2.58,
02/19/2021,02/21/2021,SEAMLSS,Food & Drink,Sale,-5.32,
02/18/2021,02/19/2021,SEAMLSS,Food & Drink,Sale,-14.15,
02/18/2021,02/19/2021,SEAMLSS,Food & Drink,Sale,-10.31,
02/17/2021,02/18/2021,SEAMLSS,Food & Drink,Sale,-4.99,
02/16/2021,02/17/2021,SEAMLSS,Food & Drink,Sale,-39.89,
02/15/2021,02/16/2021,SEAMLSS,Food & Drink,Sale,-9.99,
02/15/2021,02/16/2021,SEAMLSS,Food & Drink,Sale,-69.66,
02/15/2020,02/15/2020,WHOLEFDS,Groceries,Sale,-161.39,
02/15/2021,02/15/2021,AUTOMATIC PAYMENT - THANK,,Payment,321.61,
02/11/2021,02/14/2021,SEAMLSS,Food & Drink,Sale,-5.44,
02/12/2021,02/14/2021,SEAMLSS,Food & Drink,Sale,-74.39,
02/10/2021,02/12/2021,SEAMLSS,Food & Drink,Sale,-5.72,
02/11/2021,02/12/2021,SEAMLSS,Food & Drink,Sale,-17.84,
02/10/2021,02/11/2021,SEAMLSS,Food & Drink,Sale,-13.38,
02/09/2021,02/10/2021,SEAMLSS,Food & Drink,Sale,-15.66,
02/05/2021,02/07/2021,SEAMLSS,Food & Drink,Sale,-7.25,
02/06/2021,02/07/2021,SEAMLSS,Food & Drink,Sale,-13.14,
02/04/2021,02/05/2021,SEAMLSS,Food & Drink,Sale,-11.2,
02/03/2021,02/04/2021,SEAMLSS,Food & Drink,Sale,-4.9,
02/03/2021,02/04/2021,SEAMLSS,Food & Drink,Sale,-35.79,
02/01/2021,02/02/2021,SEAMLSS,Food & Drink,Sale,-56.95,
